label,text
15,Symtoms are itching  skin_rash  nodal_skin_eruptions  dischromic _patches nan nan nan nan nan nan nan nan nan nan nan nan nan
15,Symtoms are  skin_rash  nodal_skin_eruptions  dischromic _patches nan nan nan nan nan nan nan nan nan nan nan nan nan nan
15,Symtoms are itching  nodal_skin_eruptions  dischromic _patches nan nan nan nan nan nan nan nan nan nan nan nan nan nan
15,Symtoms are itching  skin_rash  dischromic _patches nan nan nan nan nan nan nan nan nan nan nan nan nan nan
15,Symtoms are itching  skin_rash  nodal_skin_eruptions nan nan nan nan nan nan nan nan nan nan nan nan nan nan
15,Symtoms are  skin_rash  nodal_skin_eruptions  dischromic _patches nan nan nan nan nan nan nan nan nan nan nan nan nan nan
15,Symtoms are itching  nodal_skin_eruptions  dischromic _patches nan nan nan nan nan nan nan nan nan nan nan nan nan nan
15,Symtoms are itching  skin_rash  dischromic _patches nan nan nan nan nan nan nan nan nan nan nan nan nan nan
15,Symtoms are itching  skin_rash  nodal_skin_eruptions nan nan nan nan nan nan nan nan nan nan nan nan nan nan
15,Symtoms are itching  skin_rash  nodal_skin_eruptions  dischromic _patches nan nan nan nan nan nan nan nan nan nan nan nan nan
4,Symtoms are  continuous_sneezing  shivering  chills  watering_from_eyes nan nan nan nan nan nan nan nan nan nan nan nan nan
4,Symtoms are  shivering  chills  watering_from_eyes nan nan nan nan nan nan nan nan nan nan nan nan nan nan
4,Symtoms are  continuous_sneezing  chills  watering_from_eyes nan nan nan nan nan nan nan nan nan nan nan nan nan nan
4,Symtoms are  continuous_sneezing  shivering  watering_from_eyes nan nan nan nan nan nan nan nan nan nan nan nan nan nan
4,Symtoms are  continuous_sneezing  shivering  chills nan nan nan nan nan nan nan nan nan nan nan nan nan nan
4,Symtoms are  shivering  chills  watering_from_eyes nan nan nan nan nan nan nan nan nan nan nan nan nan nan
4,Symtoms are  continuous_sneezing  chills  watering_from_eyes nan nan nan nan nan nan nan nan nan nan nan nan nan nan
4,Symtoms are  continuous_sneezing  shivering  watering_from_eyes nan nan nan nan nan nan nan nan nan nan nan nan nan nan
4,Symtoms are  continuous_sneezing  shivering  chills nan nan nan nan nan nan nan nan nan nan nan nan nan nan
4,Symtoms are  continuous_sneezing  shivering  chills  watering_from_eyes nan nan nan nan nan nan nan nan nan nan nan nan nan
16,Symtoms are  stomach_pain  acidity  ulcers_on_tongue  vomiting  cough  chest_pain nan nan nan nan nan nan nan nan nan nan nan
16,Symtoms are  stomach_pain  ulcers_on_tongue  vomiting  cough  chest_pain nan nan nan nan nan nan nan nan nan nan nan nan
16,Symtoms are  stomach_pain  acidity  vomiting  cough  chest_pain nan nan nan nan nan nan nan nan nan nan nan nan
16,Symtoms are  stomach_pain  acidity  ulcers_on_tongue  cough  chest_pain nan nan nan nan nan nan nan nan nan nan nan nan
16,Symtoms are  stomach_pain  acidity  ulcers_on_tongue  vomiting  chest_pain nan nan nan nan nan nan nan nan nan nan nan nan
16,Symtoms are  stomach_pain  acidity  ulcers_on_tongue  vomiting  cough nan nan nan nan nan nan nan nan nan nan nan nan
16,Symtoms are  acidity  ulcers_on_tongue  vomiting  cough  chest_pain nan nan nan nan nan nan nan nan nan nan nan nan
16,Symtoms are  stomach_pain  ulcers_on_tongue  vomiting  cough  chest_pain nan nan nan nan nan nan nan nan nan nan nan nan
16,Symtoms are  stomach_pain  acidity  vomiting  cough  chest_pain nan nan nan nan nan nan nan nan nan nan nan nan
16,Symtoms are  stomach_pain  acidity  ulcers_on_tongue  cough  chest_pain nan nan nan nan nan nan nan nan nan nan nan nan
